Title,Date,Link
Mandelson referred to EU anti-fraud agency over Epstein emailsThe European Commission says it is assessing whether the peer breached its code of conduct while its trade envoy.7 hrs agoEurope,N/A,https://www.bbc.com/news/articles/cj98zm22327o
1Hillary Clinton tells House panel she 'had no idea' of Epstein's crimes,N/A,https://www.bbc.com/news/articles/cd6z3e1vdvzo
2How Ghislaine Maxwell brought Bill Clinton into Epstein's orbit,N/A,https://www.bbc.com/news/articles/cp85jdqdyq7o
"3Netflix drops bid for Warner Bros, clearing way for Paramount takeover",N/A,https://www.bbc.com/news/articles/c5y6p5ypgmzo
4Remains found in Tasmania most likely belong to missing Belgian backpacker,N/A,https://www.bbc.com/news/articles/cgqgl88w155o
"5US-Iran talks end after 'significant progress', mediator says",N/A,https://www.bbc.com/news/articles/cvg1vd95nl9o
6Pakistan strikes Afghan cities as cross-border attacks escalate,N/A,https://www.bbc.com/news/articles/c0j5qx9n887o
"7American citizen among those killed in Cuba boat shooting, US official says",N/A,https://www.bbc.com/news/articles/c80j3rlp904o
8The Boys' Love at the heart of Heated Rivalry is a familiar tale in Asia,N/A,https://www.bbc.com/news/articles/c78x973y5zvo
"9Hong Kong jailed my dad to stop me speaking out, says activist",N/A,https://www.bbc.com/news/articles/cly897pv4j9o
"10First writing may be 40,000 years earlier than thought",N/A,https://www.bbc.com/news/articles/cvgknj7yyv2o
